GEOID,suffix,n
12109,DR,1382
12111,ST,1256
12113,RD,1364
12115,DR,2717
12117,CT,1797
12119,RD,868
12121,RD,654
12123,RD,928
12125,LN,206
12127,DR,2769
12129,RD,495
12131,RD,1285
12133,RD,757
13001,RD,691
13003,RD,366
13005,RD,348
13007,RD,370
13009,RD,428
13011,RD,377
13013,DR,433
13015,RD,926
13017,RD,470
13019,RD,944
13021,DR,1047
13023,RD,282
13025,RD,702
13027,RD,527
13029,RD,404
13031,RD,1475
13033,RD,492
13035,RD,336
13037,RD,278
13039,RD,444
13043,RD,349
13045,RD,778
13047,LN,763
13049,RD,372
13051,ST,1229
13053,RD,237
13055,RD,439
13057,DR,1266
13059,DR,550
13061,RD,330
13063,DR,1183
13065,RD,383
13067,DR,4668
13069,RD,1219
13071,RD,648
13073,DR,832
13075,RD,409
13077,DR,753
13079,RD,214
13081,RD,326
13083,RD,250
13085,RD,373
13087,RD,553
13089,DR,2552
13091,RD,458
13093,RD,531
13095,AVE,427
13097,DR,822
13099,RD,527
13101,RD,209
13103,RD,458
13105,RD,422
13107,RD,581
13109,RD,593
13111,RD,773
13113,DR,548
13115,RD,707
13117,DR,1255
13119,RD,663
13121,DR,3282
13123,RD,783
13125,RD,217
13127,DR,630
13129,RD,627
13131,RD,270
13133,RD,372
13135,CT,3778
13137,RD,670
13139,DR,1369
13141,RD,475
13143,RD,554
13145,RD,390
13147,RD,828
13149,RD,289
13151,DR,1234
13153,DR,993
13155,RD,436
13157,RD,704
13159,RD,378
13161,RD,550
13163,RD,395
13165,RD,329
13167,RD,280
13169,RD,349
13171,RD,251
13173,RD,335
13175,RD,1316
13177,RD,192
13179,RD,464
13181,RD,214
13183,RD,447
13185,DR,650
13187,RD,594
13189,RD,241
13191,RD,507
13193,RD,412
13195,RD,620
13197,RD,392
13199,RD,467
13201,RD,269
13205,RD,364
13207,RD,321
13209,RD,366
13211,RD,253
13213,RD,423
13215,DR,1178
13217,DR,528
13219,RD,320
13221,RD,349
13223,DR,847
13225,RD,228
13227,RD,511
13229,RD,431
13231,RD,322
13233,RD,527
13235,RD,359
13237,RD,255
13239,RD,166
13241,LN,1083
13243,RD,393
13245,DR,1184
13247,DR,490
13249,RD,189
13251,RD,405
13253,RD,259
13255,RD,405
13257,RD,580
13259,RD,226
13261,RD,357
13263,RD,298
13265,RD,137
13267,RD,1376
13269,RD,516
13271,RD,428
13273,RD,368
13275,ST,581
13277,RD,671
13279,RD,507
13281,RD,498
13283,RD,459
13285,RD,425
13287,RD,356
13289,RD,285
13291,RD,974
13293,RD,331
13295,DR,603
13297,RD,505
13299,RD,499
13301,RD,377
13303,RD,387
13305,RD,608
13307,RD,295
13309,RD,316
13311,DR,629
13313,DR,1018
13315,RD,560
13317,RD,324
13319,RD,289
13321,RD,436
15001,ST,1430
15003,ST,3804
15005,ST,19
15007,RD,605
15009,PL,1162
16001,ST,3340
16003,RD,459
16005,RD,596
16007,RD,286
16009,RD,361
16011,RD,706
16013,RD,534
16015,RD,791
16017,RD,1707
16019,DR,828
16021,RD,662
16023,RD,75
16025,RD,157
16027,AVE,1095
16029,RD,513
16031,RD,358
16033,RD,190
16035,RD,470
16037,RD,491
16039,RD,672
16041,RD,178
16043,RD,504
16045,RD,166
16047,RD,128
16049,RD,1475
16051,RD,192
16053,RD,174
16055,RD,1649
16057,RD,593
16059,RD,1128
16061,RD,229
16063,RD,189
16065,RD,201
16067,ST,259
16069,RD,490
16071,RD,179
16073,RD,442
16075,AVE,200
16077,RD,349
16079,RD,852
16081,RD,321
16083,ST,452
16085,RD,602
16087,RD,273
17001,RD,1441
17003,RD,255
17005,ST,430
17007,DR,272
17009,RD,444
17011,ST,1637
17013,RD,189
17015,ST,374
17017,RD,407
17019,DR,1413
17021,RD,1074
17023,RD,835
17025,RD,886
17027,RD,787
17029,RD,826
17031,AVE,11940
17033,ST,658
17035,RD,361
17037,ST,738
17039,RD,774
17041,RD,475
17043,CT,3399
17045,ST,648
17047,RD,310
17049,ST,739
17051,RD,1116
17053,RD,378
17055,ST,1161
17057,RD,999
17059,RD,256
17061,ST,309
17063,RD,615
17065,RD,809
17067,RD,1082
17069,RD,88
17071,ST,276
17073,ST,1064
17075,RD,1955
17077,RD,994
17079,ST,471
17081,RD,1523
17083,RD,476
17085,RD,557
17087,LN,277
17089,DR,1750
17091,RD,959
17093,DR,559
17095,ST,839
17097,CT,2862
17099,ST,1623
17101,RD,311
17103,RD,500
17105,RD,702
17107,ST,989
17109,RD,1102
17111,DR,1797
17113,RD,2184
17115,ST,904
17117,ST,1317
17119,ST,1899
17121,RD,1294
17123,RD,417
17125,ST,459
17127,RD,414
17129,ST,385
17131,ST,545
17133,RD,389
17135,RD,825
17137,RD,600
17139,ST,358
17141,RD,696
17143,ST,944
17145,RD,586
17147,RD,547
17149,ST,879
17151,RD,222
17153,RD,235
17155,RD,270
17157,ST,781
17159,RD,715
17161,AVE,1440
17163,DR,2245
17165,RD,567
17167,RD,1387
17169,RD,351
17171,RD,230
17173,RD,611
17175,RD,236
17177,RD,573
17179,ST,1219
17181,LN,340
17183,RD,2000
17185,RD,369
17187,ST,693
17189,ST,534
17191,LN,551
17193,RD,892
17195,RD,627
17197,DR,3288
17199,ST,1068
17201,DR,1335
17203,RD,626
18001,ST,317
18003,DR,2156
18005,DR,638
18007,ST,251
18009,ST,237
18011,ST,338
18013,RD,410
18015,ST,316
18017,RD,701
18019,DR,725
18021,RD,554
18023,RD,481
18025,RD,572
18027,RD,448
18029,LN,501
18031,RD,619
18033,ST,426
18035,RD,1053
18037,ST,496
18039,DR,1200
18041,RD,390
18043,DR,580
18045,RD,469
18047,RD,567
18049,RD,309
18051,RD,832
18053,ST,964
18055,RD,1175
18057,DR,2552
18059,DR,550
18061,RD,659
18063,DR,1294
18065,RD,557
18067,ST,510
18069,ST,429
18071,RD,803
18073,RD,408
18075,ST,358
18077,RD,492
18079,RD,782
18081,DR,1068
18083,RD,1068
18085,ST,805
18087,ST,165
18089,ST,2830
18091,ST,803
18093,RD,899
18095,ST,1393
18097,DR,4756
18099,RD,755
18101,RD,559
18103,ST,462
18105,DR,833
18107,RD,527
18109,RD,937
18111,ST,285
18113,ST,492
18115,RD,113
18117,RD,966
18119,RD,1245
18121,RD,372
18123,RD,642
18125,RD,588
18127,DR,964
18129,RD,832
18131,RD,508
18133,RD,917
18135,ST,422
18137,RD,662
18139,ST,285
18141,DR,1560
18143,RD,432
18145,ST,349
18147,RD,858
18149,ST,308
18151,LAKE,394
18153,RD,730
18155,RD,366
18157,DR,939
18159,ST,227
18161,RD,295
18163,DR,1045
18165,ST,386
18167,ST,1273
18169,RD,477
18171,ST,175
18173,RD,1148
18175,RD,714
18177,ST,728
18179,ST,262
18181,ST,395
18183,RD,413
19001,ST,364
19003,ST,177
19005,RD,280
19007,ST,605
19009,ST,254
19011,ST,465
19013,ST,850
19015,ST,518
19017,ST,465
19019,ST,610
19021,ST,398
19023,ST,514
19025,ST,351
19027,ST,514
19029,ST,411
19031,ST,472
19033,ST,632
19035,ST,334
19037,ST,307
19039,ST,332
19041,ST,379
19043,ST,543
19045,ST,581
19047,ST,431
19049,ST,929
19051,ST,481
19053,ST,589
19055,ST,582
19057,ST,657
19059,ST,379
19061,ST,737
19063,ST,270
19065,ST,542
19067,ST,357
19069,ST,382
19071,ST,357
19073,ST,439
19075,ST,306
19077,ST,439
19079,ST,360
19081,ST,310
19083,ST,503
19085,ST,496
19087,ST,597
19089,ST,246
19091,ST,325
19093,ST,226
19095,ST,436
19097,ST,611
19099,ST,931
19101,ST,373
19103,ST,778
19105,ST,494
19107,ST,670
19109,ST,539
19111,ST,564
19113,DR,1119
19115,ST,445
19117,ST,349
19119,ST,272
19121,ST,357
19123,ST,598
19125,ST,659
19127,ST,588
19129,ST,329
19131,ST,372
19133,ST,450
19135,ST,291
19137,ST,383
19139,ST,702
19141,ST,328
19143,ST,180
19145,ST,608
19147,ST,342
19149,ST,425
19151,ST,296
19153,ST,3138
19155,ST,955
19157,ST,577
19159,ST,350
19161,ST,426
19163,ST,1539
19165,ST,373
19167,ST,484
19169,ST,702
19171,ST,618
19173,ST,402
19175,ST,440
19177,ST,426
19179,ST,639
19181,ST,735
19183,ST,473
19185,ST,449
19187,ST,703
19189,ST,256
19191,ST,398
19193,ST,1335
19195,ST,267
19197,ST,362
20001,ST,581
20003,RD,543
20005,RD,459
20007,RD,321
20009,ST,404
20011,ST,635
20013,ST,439
20015,ST,1011
20017,RD,293
20019,RD,331
20021,ST,614
20023,RD,144
20025,ST,123
20027,RD,298
20029,RD,647
20031,RD,543
20033,RD,200
20035,RD,840
20037,ST,982
20039,RD,255
20041,ST,466
20043,RD,403
20045,RD,1164
20047,AVE,173
20049,RD,363
20051,ST,394
20053,RD,187
20055,RD,386
20057,RD,502
20059,ST,386
20061,RD,237
20063,ST,154
20065,RD,322
20067,RD,165
20069,RD,335
20071,RD,235
20073,RD,1214
20075,RD,151
20077,AVE,267
20079,ST,502
20081,RD,127
20083,RD,266
20085,RD,410
20087,ST,537
20089,RD,384
20091,ST,7409
20093,RD,206
20095,ST,386
20097,ST,343
20099,RD,504
20101,RD,177
20103,ST,1185
20105,RD,115
20107,RD,509
20109,RD,169
20111,RD,379
20113,ST,474
20115,ST,529
20117,RD,429
20119,RD,312
20121,ST,628
20123,RD,335
20125,ST,785
20127,ST,254
20129,RD,115
20131,RD,682
20133,RD,315
20135,RD,394
20137,RD,130
20139,ST,603
20141,AVE,256
20143,RD,468
20145,ST,126
20147,RD,414
20149,RD,569
20151,ST,356
20153,RD,218
20155,RD,762
20157,RD,349
20159,ST,207
20161,RD,540
20163,RD,323
20165,ST,248
20167,ST,513
20169,RD,536
20171,RD,211
20173,ST,5692
20175,RD,283
20177,ST,1464
20179,RD,330
20181,RD,254
20183,RD,388
20185,ST,197
20187,RD,138
20189,RD,157
20191,ST,665
20193,RD,200
20195,AVE,169
20197,RD,407
20199,RD,141
20201,RD,368
20203,RD,121
20205,RD,601
20207,RD,390
20209,ST,2221
21001,RD,1141
21003,RD,633
21005,RD,223
21007,RD,282
21009,RD,773
21011,RD,407
21013,RD,1081
21015,DR,707
21017,RD,194
21019,ST,534
21021,RD,218
21023,RD,240
21025,RD,563
21027,RD,882
21029,DR,534
21031,RD,719
21033,RD,515
21035,DR,647
21037,DR,340
21039,RD,271
21041,RD,127
21043,RD,1102
21045,RD,591
21047,RD,794
21049,LN,227
21051,RD,897
21053,RD,555
21055,RD,492
21057,RD,649
21059,RD,487
21061,RD,461
21063,RD,544
21065,RD,525
21067,DR,1029
21069,RD,345
21071,RD,862
21073,DR,326
21075,ST,157
21077,RD,108
21079,RD,316
21081,RD,297
21083,RD,591
21085,RD,874
21087,RD,752
21089,RD,811
21091,RD,199
21093,RD,624
21095,RD,1088
21097,RD,306
21099,RD,585
21101,RD,388
21103,RD,306
21105,RD,284
21107,RD,570
21109,RD,671
21111,CT,2641
21113,DR,380
21115,RD,532
21117,DR,822
21119,RD,511
21121,RD,858
21123,RD,402
21125,RD,1391
21127,RD,949
21129,RD,529
21131,RD,555
21133,RD,782
21135,RD,416
21137,RD,478
21139,RD,407
21141,RD,955
21143,RD,358
21145,DR,496
21147,RD,1431
21149,RD,203
21151,DR,832
21153,RD,931
21155,RD,454
21157,RD,657
21159,RD,562
21161,RD,183
21163,RD,445
21165,RD,414
21167,RD,235
21169,RD,550
21171,RD,675
21173,DR,201
21175,RD,1003
21177,LN,500
21179,RD,291
21181,RD,212
21183,RD,475
21185,CT,434
21187,RD,277
21189,RD,408
21191,RD,337
21193,LN,642
21195,RD,965
21197,RD,355
21199,RD,1595
21201,RD,103
21203,RD,619
21205,RD,645
21207,RD,736
21209,DR,290
21211,RD,309
21213,RD,312
21215,RD,204
21217,RD,602
